roi_set	roi	variant	response	status	model	n_trials	n_subjects	ers_beta	ers_se	ers_p	condition_beta	condition_se	condition_p	interaction_beta	interaction_se	interaction_p	converged	loglik	q_bh_within_family
meta_metaphor	meta_R_pMTG_pSTS	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.19778261671109482	0.1627621069952171	0.2243036328258411	0.567558404916893	0.17035200095912703	0.0008632336283190459	-0.13164275489421282	0.15470040471076466	0.39479552844847543	True		0.5981430208689096
meta_spatial	meta_L_precuneus	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.05801656487016262	0.03429824006506759	0.09073527338119959	-0.07985121254144394	0.032614057059013726	0.014350501543777528	0.06673221982330241	0.035458154630106584	0.05983611975456959	True	-26.691924106535225	0.6193904861469279
meta_spatial	meta_L_PPC_SPL	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04304015507633017	0.03086114101864112	0.1631246868963394	-0.07618358737720213	0.03163214060439292	0.01602158838136796	0.047922989856245754	0.03253370925070947	0.14074410596814638	True	inf	0.6193904861469279
meta_spatial	meta_L_RSC_PCC	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.03480471515568127	0.028225795281393597	0.21754523765633704	-0.06934394913227192	0.03140228329203489	0.0272271678322521	0.0463489261890719	0.029573431048706723	0.1170565331108915	True	inf	0.6193904861469279
meta_spatial	meta_R_precuneus	run3_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.035000160009303186	0.03028176006577482	0.24775619445877117	-0.07367489555725318	0.03155652068989021	0.019559285963653136	0.026565838373096104	0.031759213855406115	0.402886850591067	True	inf	0.6193904861469279
meta_spatial	meta_L_hippocampus	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04150901000329391	0.028719679422070654	0.14836916701395	-0.06931043442507397	0.031385296045765655	0.027218295573049393	0.037631852615754274	0.030263638882606317	0.21369559497795976	True	inf	0.6214372840732812
meta_spatial	meta_R_hippocampus	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.04127966239021731	0.03337900255334065	0.21620014843056867	-0.06835110765319982	0.03142362206612624	0.029618839207356723	0.03505838847754531	0.03476310835852247	0.31321733527377726	True	inf	0.6214372840732812
meta_spatial	meta_R_precuneus	max_run_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.03272266238862097	0.028360339963144257	0.2485749136293125	-0.06947250881130691	0.032067649012614115	0.03027788655571389	0.0246290630606936	0.029837662999453365	0.4091244485172689	True	-27.80243345740746	0.6214372840732812
meta_spatial	meta_L_RSC_PCC	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.02829818627682412	0.03189699191706994	0.37498515446030456	-0.06913523454847921	0.031434228929935505	0.027852224164070016	0.022337566946855104	0.03315653901895691	0.5005019351103708	True	inf	0.6258082582246092
meta_spatial	meta_R_precuneus	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.022564114041875742	0.030920171948556056	0.4655406679886934	-0.07172568351581458	0.03145147694260905	0.02257693884188771	0.022861590879458958	0.032064186616641184	0.47584911856237566	True	inf	0.6258082582246092
meta_spatial	meta_R_PPA_PHG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.02651557833255074	0.036998700319546295	0.47358241547650093	-0.06721839843142485	0.032108114624438924	0.03630437613669621	-0.026941221025072546	0.03819993441854478	0.4806429872726937	True	-28.231584855166375	0.6258082582246092
meta_spatial	meta_R_RSC_PCC	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	-0.022483592103583586	0.03177257583798509	0.47916793633997057	-0.07274969073353604	0.03149756398312077	0.020905178295955413	0.031043094637089826	0.03337463789693399	0.3522984639263509	True	inf	0.6258082582246092
meta_spatial	meta_L_precuneus	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.023288358660827835	0.0345795136389728	0.5006466065796873	-0.05954459955801748	0.03400400715476441	0.0799277612672644	-0.040588013795578325	0.03560099304806641	0.25425257975210414	True	-26.83076925934165	0.6258082582246092
meta_spatial	meta_R_precuneus	max_run_to_retrieval	memory	ok	gee_binomial	884	26	0.14431519122371755	0.1432753305364683	0.3138109135522573	0.5761857783833577	0.17451220269753265	0.0009610307477240108	-0.0592385587805849	0.15715769077103098	0.7062203753100023	True		0.6276218271045146
meta_spatial	meta_L_PPA_PHG	run4_to_retrieval	log_rt_correct	ok	mixedlm_gaussian	614	26	0.01674952275782101	0.031347186859515715	0.5931180857238051	-0.07435494539702059	0.032143602486042214	0.020711023045739095	-0.0076629111076417285	0.03281666407645499	0.8153679633759365	True	inf	0.6590200952486723
