subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-16	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	-0.017451478004498956	35
sub-16	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.0393254504991333	35
sub-16	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.06483605062431204	35
sub-16	meta_metaphor	meta_R_AG	yy	YY	-0.0063393974343342475	35
sub-16	meta_metaphor	meta_R_AG	kj	KJ	-0.0018928015000418423	35
sub-16	meta_metaphor	meta_R_IFG	yy	YY	0.0815499165824977	35
sub-16	meta_metaphor	meta_R_IFG	kj	KJ	-0.023238008569587004	35
sub-16	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.004528202722869977	35
sub-16	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.03961003033455311	35
sub-16	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.08594616712861702	35
sub-16	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.08466054976626884	35
sub-17	meta_metaphor	meta_L_AG	yy	YY	0.12332287195472322	35
sub-17	meta_metaphor	meta_L_AG	kj	KJ	-0.003241173000659243	35
sub-17	meta_metaphor	meta_L_IFG	yy	YY	0.14258123061937497	35
sub-17	meta_metaphor	meta_L_IFG	kj	KJ	0.09161543479016686	35
sub-17	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	-0.012036739040400287	35
sub-17	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	-0.022526007024161313	35
sub-17	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.012073883501689682	35
sub-17	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.020955051602481824	35
sub-17	meta_metaphor	meta_R_AG	yy	YY	0.1907651025419267	35
sub-17	meta_metaphor	meta_R_AG	kj	KJ	-0.004210322952208277	35
sub-17	meta_metaphor	meta_R_IFG	yy	YY	0.0877050218622027	35
sub-17	meta_metaphor	meta_R_IFG	kj	KJ	0.0786327018482355	35
sub-17	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.14079720381224892	35
sub-17	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.15578941607495272	35
sub-17	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.11771267945976004	35
sub-17	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.012345972484893932	35
sub-18	meta_metaphor	meta_L_AG	yy	YY	-0.05376891956470066	35
sub-18	meta_metaphor	meta_L_AG	kj	KJ	0.004610710632567188	35
sub-18	meta_metaphor	meta_L_IFG	yy	YY	0.016024878022059263	35
sub-18	meta_metaphor	meta_L_IFG	kj	KJ	-0.020019950626762997	35
sub-18	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.14475978580043306	35
sub-18	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.1297912859775461	35
sub-18	meta_metaphor	meta_L_temporal_pole	yy	YY	0.14610508404208372	35
sub-18	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.13608898349947862	35
sub-18	meta_metaphor	meta_R_AG	yy	YY	0.02791303954385116	35
sub-18	meta_metaphor	meta_R_AG	kj	KJ	0.24491070344221488	35
sub-18	meta_metaphor	meta_R_IFG	yy	YY	-0.01385094491142657	35
sub-18	meta_metaphor	meta_R_IFG	kj	KJ	-0.014626427083240807	35
sub-18	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.09969482117154597	35
sub-18	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.10757020914494185	35
sub-18	meta_metaphor	meta_R_temporal_pole	yy	YY	-0.03320412166925594	35
sub-18	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.03647584521131915	35
sub-19	meta_metaphor	meta_L_AG	yy	YY	0.16567054497005593	35
sub-19	meta_metaphor	meta_L_AG	kj	KJ	0.08212293397859165	35
sub-19	meta_metaphor	meta_L_IFG	yy	YY	0.06562450121838193	35
sub-19	meta_metaphor	meta_L_IFG	kj	KJ	0.08689960443081228	35
sub-19	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.18180356921991112	35
sub-19	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.1390044875462667	35
sub-19	meta_metaphor	meta_L_temporal_pole	yy	YY	-0.02468848324017678	35
sub-19	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.039123548564407064	35
sub-19	meta_metaphor	meta_R_AG	yy	YY	0.1658225691518503	35
sub-19	meta_metaphor	meta_R_AG	kj	KJ	0.198065125894892	35
sub-19	meta_metaphor	meta_R_IFG	yy	YY	-0.0997601491216369	35
sub-19	meta_metaphor	meta_R_IFG	kj	KJ	0.0387717582703525	35
sub-19	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	0.08019272024617108	35
sub-19	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.07941308351784447	35
sub-19	meta_metaphor	meta_R_temporal_pole	yy	YY	0.06382400275922856	35
sub-19	meta_metaphor	meta_R_temporal_pole	kj	KJ	0.029043715376247763	35
sub-20	meta_metaphor	meta_L_AG	yy	YY	0.19751745780441746	35
sub-20	meta_metaphor	meta_L_AG	kj	KJ	0.15440789255942497	35
sub-20	meta_metaphor	meta_L_IFG	yy	YY	0.023875353644641162	35
sub-20	meta_metaphor	meta_L_IFG	kj	KJ	-0.06036207706140314	35
sub-20	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.08816810247248769	35
sub-20	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.09527802296905619	35
sub-20	meta_metaphor	meta_L_temporal_pole	yy	YY	0.02607223030705197	35
sub-20	meta_metaphor	meta_L_temporal_pole	kj	KJ	0.0551612652284964	35
sub-20	meta_metaphor	meta_R_AG	yy	YY	0.17632271963255605	35
sub-20	meta_metaphor	meta_R_AG	kj	KJ	-0.018602309352780073	35
sub-20	meta_metaphor	meta_R_IFG	yy	YY	0.07717589180670562	35
sub-20	meta_metaphor	meta_R_IFG	kj	KJ	-0.031853689680564325	35
sub-20	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	-0.055755228358349535	35
sub-20	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	0.07083605903835925	35
sub-20	meta_metaphor	meta_R_temporal_pole	yy	YY	0.03830311650947905	35
sub-20	meta_metaphor	meta_R_temporal_pole	kj	KJ	-0.0004107353337200093	35
sub-21	meta_metaphor	meta_L_AG	yy	YY	0.11532700806643637	35
sub-21	meta_metaphor	meta_L_AG	kj	KJ	0.11688096858916311	35
sub-21	meta_metaphor	meta_L_IFG	yy	YY	0.19356236846805344	35
sub-21	meta_metaphor	meta_L_IFG	kj	KJ	0.1267512366579617	35
sub-21	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	0.163400447535477	35
sub-21	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	0.24539497702074178	35
sub-21	meta_metaphor	meta_L_temporal_pole	yy	YY	0.01679797541136662	35
sub-21	meta_metaphor	meta_L_temporal_pole	kj	KJ	-0.01145898232731621	35
sub-21	meta_metaphor	meta_R_AG	yy	YY	0.06656760799655717	35
sub-21	meta_metaphor	meta_R_AG	kj	KJ	0.11556120140971092	35
sub-21	meta_metaphor	meta_R_IFG	yy	YY	0.0851754837253502	35
