subject	roi_set	roi	condition	condition_label	mean_reliability	n_items
sub-11	meta_spatial	meta_L_RSC_PCC	yy	YY	0.015095431217124729	35
sub-11	meta_spatial	meta_L_RSC_PCC	kj	KJ	-0.048773910155186395	35
sub-11	meta_spatial	meta_L_hippocampus	yy	YY	0.13021141654668203	35
sub-11	meta_spatial	meta_L_hippocampus	kj	KJ	0.011293941323532864	35
sub-11	meta_spatial	meta_L_precuneus	yy	YY	0.26655933745178567	35
sub-11	meta_spatial	meta_L_precuneus	kj	KJ	0.22568652273122064	35
sub-11	meta_spatial	meta_R_PPA_PHG	yy	YY	0.19085416755935333	35
sub-11	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.19805156330820212	35
sub-11	meta_spatial	meta_R_PPC_SPL	yy	YY	0.02222478750164181	35
sub-11	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.039180458681055914	35
sub-11	meta_spatial	meta_R_RSC_PCC	yy	YY	0.18665240491155904	35
sub-11	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.010702233862606944	35
sub-11	meta_spatial	meta_R_hippocampus	yy	YY	0.13913546333898966	35
sub-11	meta_spatial	meta_R_hippocampus	kj	KJ	0.051760363376702166	35
sub-11	meta_spatial	meta_R_precuneus	yy	YY	0.38770978819764057	35
sub-11	meta_spatial	meta_R_precuneus	kj	KJ	0.41084926854714127	35
sub-12	meta_spatial	meta_L_PPA_PHG	yy	YY	0.03412387263304739	35
sub-12	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.1351071004295479	35
sub-12	meta_spatial	meta_L_PPC_SPL	yy	YY	0.12025918604815387	35
sub-12	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.13392022816720148	35
sub-12	meta_spatial	meta_L_RSC_PCC	yy	YY	0.0336168426489471	35
sub-12	meta_spatial	meta_L_RSC_PCC	kj	KJ	0.09740748834446286	35
sub-12	meta_spatial	meta_L_hippocampus	yy	YY	0.04541178478531019	35
sub-12	meta_spatial	meta_L_hippocampus	kj	KJ	0.05676464907270411	35
sub-12	meta_spatial	meta_L_precuneus	yy	YY	0.02043370429059886	35
sub-12	meta_spatial	meta_L_precuneus	kj	KJ	0.08688717175852698	35
sub-12	meta_spatial	meta_R_PPA_PHG	yy	YY	0.10820817022551026	35
sub-12	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.052761395372170686	35
sub-12	meta_spatial	meta_R_PPC_SPL	yy	YY	0.04298621482409895	35
sub-12	meta_spatial	meta_R_PPC_SPL	kj	KJ	-0.05736909621857106	35
sub-12	meta_spatial	meta_R_RSC_PCC	yy	YY	0.167215788509438	35
sub-12	meta_spatial	meta_R_RSC_PCC	kj	KJ	0.1800229965564618	35
sub-12	meta_spatial	meta_R_hippocampus	yy	YY	-0.003856233078474615	35
sub-12	meta_spatial	meta_R_hippocampus	kj	KJ	0.007407979104666633	35
sub-12	meta_spatial	meta_R_precuneus	yy	YY	0.17543408531746632	35
sub-12	meta_spatial	meta_R_precuneus	kj	KJ	0.1424242112569636	35
sub-13	meta_spatial	meta_L_PPA_PHG	yy	YY	0.12498552937172076	35
sub-13	meta_spatial	meta_L_PPA_PHG	kj	KJ	0.10288615051395575	35
sub-13	meta_spatial	meta_L_PPC_SPL	yy	YY	-0.060474207281385924	35
sub-13	meta_spatial	meta_L_PPC_SPL	kj	KJ	0.13379326598300087	35
sub-13	meta_spatial	meta_L_RSC_PCC	yy	YY	-0.00822546916705743	35
sub-13	meta_spatial	meta_L_RSC_PCC	kj	KJ	-0.007811105804669565	35
sub-13	meta_spatial	meta_L_hippocampus	yy	YY	0.037526132706133246	35
sub-13	meta_spatial	meta_L_hippocampus	kj	KJ	0.03382213913244537	35
sub-13	meta_spatial	meta_L_precuneus	yy	YY	0.1335118404294605	35
sub-13	meta_spatial	meta_L_precuneus	kj	KJ	0.18504523000449624	35
sub-13	meta_spatial	meta_R_PPA_PHG	yy	YY	0.14681158659074736	35
sub-13	meta_spatial	meta_R_PPA_PHG	kj	KJ	0.2959826719875071	35
sub-13	meta_spatial	meta_R_PPC_SPL	yy	YY	0.057049086437659755	35
sub-13	meta_spatial	meta_R_PPC_SPL	kj	KJ	0.03838973130437294	35
sub-13	meta_spatial	meta_R_RSC_PCC	yy	YY	0.058989610960469084	35
sub-13	meta_spatial	meta_R_RSC_PCC	kj	KJ	-0.07340107733752367	35
sub-13	meta_spatial	meta_R_hippocampus	yy	YY	0.029226995735341602	35
