subject	roi_set	roi	condition	condition_label	run	target_phase	reinstatement	n_trials
sub-08	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.010777326994506946	30
sub-08	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	-0.006799733579973237	30
sub-08	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	0.12001252300840051	4
sub-08	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.16535637283953308	4
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	-0.014488052140241011	30
sub-08	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	4	retrieval	-0.028191112803603556	30
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	3	retrieval	0.07563760076638798	4
sub-08	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	4	retrieval	-0.057728944839403364	4
sub-08	meta_metaphor	meta_R_temporal_pole	yy	YY	3	retrieval	-0.0007882674882232631	30
sub-08	meta_metaphor	meta_R_temporal_pole	yy	YY	4	retrieval	-0.019238929487348903	30
sub-08	meta_metaphor	meta_R_temporal_pole	kj	KJ	3	retrieval	-0.038323708272713516	4
sub-08	meta_metaphor	meta_R_temporal_pole	kj	KJ	4	retrieval	0.03593755853019625	4
sub-09	meta_metaphor	meta_L_AG	yy	YY	3	retrieval	-0.015597747491723577	30
sub-09	meta_metaphor	meta_L_AG	yy	YY	4	retrieval	-0.024012244532337346	30
sub-09	meta_metaphor	meta_L_AG	kj	KJ	3	retrieval	0.05029155696905572	4
sub-09	meta_metaphor	meta_L_AG	kj	KJ	4	retrieval	-0.10522800353693496	4
sub-09	meta_metaphor	meta_L_IFG	yy	YY	3	retrieval	0.013883207126262205	30
sub-09	meta_metaphor	meta_L_IFG	yy	YY	4	retrieval	0.029176841372017873	30
sub-09	meta_metaphor	meta_L_IFG	kj	KJ	3	retrieval	0.13917475302798477	4
sub-09	meta_metaphor	meta_L_IFG	kj	KJ	4	retrieval	0.007776206047125575	4
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	3	retrieval	0.037118884557845955	30
sub-09	meta_metaphor	meta_L_pMTG_pSTS	yy	YY	4	retrieval	0.030695211340402526	30
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	3	retrieval	0.033059464282763976	4
sub-09	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	4	retrieval	-0.15445084694458297	4
sub-09	meta_metaphor	meta_L_temporal_pole	yy	YY	3	retrieval	0.0062651192199293885	30
sub-09	meta_metaphor	meta_L_temporal_pole	yy	YY	4	retrieval	-0.012839593985929449	30
sub-09	meta_metaphor	meta_L_temporal_pole	kj	KJ	3	retrieval	0.03606957104843191	4
sub-09	meta_metaphor	meta_L_temporal_pole	kj	KJ	4	retrieval	-0.07763809543307748	4
sub-09	meta_metaphor	meta_R_AG	yy	YY	3	retrieval	0.05339619660217116	30
sub-09	meta_metaphor	meta_R_AG	yy	YY	4	retrieval	0.009659237928709864	30
sub-09	meta_metaphor	meta_R_AG	kj	KJ	3	retrieval	0.059832981533834456	4
sub-09	meta_metaphor	meta_R_AG	kj	KJ	4	retrieval	-0.11383506228877108	4
sub-09	meta_metaphor	meta_R_IFG	yy	YY	3	retrieval	-0.053004445431462086	30
sub-09	meta_metaphor	meta_R_IFG	yy	YY	4	retrieval	0.09232895814897948	30
sub-09	meta_metaphor	meta_R_IFG	kj	KJ	3	retrieval	0.044911209296152166	4
sub-09	meta_metaphor	meta_R_IFG	kj	KJ	4	retrieval	0.06696021890136886	4
sub-09	meta_metaphor	meta_R_pMTG_pSTS	yy	YY	3	retrieval	0.03422247989598878	30
