analysis_type	roi_set	roi	condition	condition_label	variant	n_subjects	mean_ers	t	p	cohens_dz	q_bh_within_family
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	kj	KJ	run3_to_retrieval	26	0.024775827795183208	0.8095416290180882	0.42584207252938044	0.15876417551649702	0.5819703373579626
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	yy	YY	run3_to_retrieval	26	0.02156112906984895	0.7908369698520149	0.4364777530184719	0.15509589005176974	0.5819703373579626
ers_one_sample_gt_zero	meta_metaphor	meta_L_IFG	kj	KJ	run4_to_retrieval	26	0.022760434279221455	0.6602549646470455	0.5151281111178345	0.1294866518723769	0.6087673374736341
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	yy	YY	run4_to_retrieval	26	0.01635720026793209	0.6389648059786656	0.5286571847537258	0.12531130823785552	0.6087673374736341
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	run4_to_retrieval	26	0.02159210405538277	0.6327047854579216	0.5326714202894298	0.12408361720744149	0.6087673374736341
ers_one_sample_gt_zero	meta_metaphor	meta_R_temporal_pole	yy	YY	run4_to_retrieval	26	-0.006414623126819504	-0.5108741601261904	0.6139212973376948	-0.10019066582591424	0.6315288795547915
ers_one_sample_gt_zero	meta_metaphor	meta_L_AG	kj	KJ	run4_to_retrieval	26	0.015836203598942108	0.48552949084214886	0.6315288795547915	0.09522016723957255	0.6315288795547915
ers_one_sample_gt_zero	meta_metaphor	meta_R_pMTG_pSTS	kj	KJ	run3_to_retrieval	26	-0.026693758507373218	-0.6469722756779602	0.523546311555604	-0.1268817022475173	0.6443646911453589
ers_yy_minus_kj	meta_metaphor	meta_L_IFG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.03953259844695594	1.3618313383181102	0.18539774894425626	0.26707709878100855	0.6460249345767097
ers_yy_minus_kj	meta_metaphor	meta_R_pMTG_pSTS	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.02087395876967924	1.0396654790654862	0.3084464751821599	0.20389517559091175	0.6460249345767097
ers_yy_minus_kj	meta_metaphor	meta_R_IFG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.02432568982260297	-1.0082109050707315	0.32301246728835487	-0.19772642610664243	0.6460249345767097
ers_one_sample_gt_zero	meta_metaphor	meta_R_IFG	kj	KJ	run3_to_retrieval	26	0.020329222978348972	0.5484057079307829	0.588277691191289	0.1075512079271049	0.6723173613614731
ers_one_sample_gt_zero	meta_metaphor	meta_L_pMTG_pSTS	kj	KJ	run3_to_retrieval	26	0.014010301921369015	0.4477606397251083	0.6581819913551155	0.08781308612988907	0.7020607907787898
ers_yy_minus_kj	meta_metaphor	meta_R_temporal_pole	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.020107707998514492	0.6252453169866617	0.5374760877563225	0.12262069508067287	0.7166347836750967
ers_one_sample_gt_zero	meta_metaphor	meta_R_AG	kj	KJ	run3_to_retrieval	26	0.010920203962916984	0.3197366851284778	0.75182468595123	0.06270552294929155	0.75182468595123
ers_yy_minus_kj	meta_metaphor	meta_L_temporal_pole	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.012428401751478742	-0.511996639008497	0.6131468123468431	-0.10041080204608643	0.8308492522221593
ers_yy_minus_kj	meta_metaphor	meta_R_temporal_pole	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.010841400531365616	-0.4975679229608136	0.6231369391666195	-0.09758109801980847	0.8308492522221593
ers_yy_minus_kj	meta_metaphor	meta_L_temporal_pole	yy_minus_kj	YY-KJ	run4_to_retrieval	26	-0.004427039931551295	-0.14357080072243547	0.8869904031041838	-0.028156550556378442	0.8869904031041838
ers_yy_minus_kj	meta_metaphor	meta_R_AG	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	-0.005502710903575223	-0.19222680880773163	0.8491174649515913	-0.037698778813318956	0.9270561634302599
ers_yy_minus_kj	meta_metaphor	meta_L_pMTG_pSTS	yy_minus_kj	YY-KJ	max_run_to_retrieval	26	0.002033062400992552	0.09247698371832708	0.9270561634302599	0.01813622863607508	0.9270561634302599
ers_yy_minus_kj	meta_metaphor	meta_L_temporal_pole	yy_minus_kj	YY-KJ	run3_to_retrieval	26	-0.0028945846750323243	-0.118930703176252	0.9062807689513357	-0.02332422985619309	0.9710432928775277
ers_yy_minus_kj	meta_metaphor	meta_R_IFG	yy_minus_kj	YY-KJ	run3_to_retrieval	26	0.0012319060914999732	0.03666503362365232	0.9710432928775277	0.007190604688982259	0.9710432928775277
